Status do Arquivo: Parcial
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2024-11-18;A1WK34;A1WK;A1WK;CASH;EQUITY-CASH;BDR;;;2024-11-11;9999-12-31;;;;;BRA1WKBDR006;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;120;1;2;;;;DRN ED;AMERICAN WATER WORKS CO INC;9999-12-31;FUNGIBLE;724816400;
2024-11-18;A1ZN34;A1ZN;A1ZN;CASH;EQUITY-CASH;BDR;;;2024-08-08;9999-12-31;;;;;BRA1ZNBDR003;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;108;1;2;;;;DRN;ASTRAZENECA PLC;9999-12-31;FUNGIBLE;18603324000;
2024-11-18;A2FY34;A2FY;A2FY;CASH;EQUITY-CASH;BDR;;;2023-07-24;9999-12-31;;;;;BRA2FYBDR000;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;AFYA LTD;9999-12-31;FUNGIBLE;91840000;
2024-11-18;A2LC34;A2LC;A2LC;CASH;EQUITY-CASH;BDR;;;2024-05-14;9999-12-31;;;;;BRA2LCBDR004;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;103;1;2;;;;DRN;ALCON INC;9999-12-31;FUNGIBLE;4997000000;
2024-11-18;A2MB34;A2MB;A2MB;CASH;EQUITY-CASH;BDR;;;2022-01-31;9999-12-31;;;;;BRA2MBBDR004;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;AMBARELLA INC;9999-12-31;FUNGIBLE;925077500;
2024-11-18;A2RE34;A2RE;A2RE;CASH;EQUITY-CASH;BDR;;;2024-09-13;9999-12-31;;;;;BRA2REBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;111;1;2;;;;DRN;ARES MANAGEMENT CORP;9999-12-31;FUNGIBLE;1676136000;
2024-11-18;A2RR34;A2RR;A2RR;CASH;EQUITY-CASH;BDR;;;2022-01-31;9999-12-31;;;;;BRA2RRBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ARROWHEAD PHARMACEUTICALS INC;9999-12-31;FUNGIBLE;836205600;
2024-11-18;A2RW34;A2RW;A2RW;CASH;EQUITY-CASH;BDR;;;2022-01-31;9999-12-31;;;;;BRA2RWBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;ARROW ELECTRONICS INC;9999-12-31;FUNGIBLE;1044437850;
2024-11-18;A2SO34;A2SO;A2SO;CASH;EQUITY-CASH;BDR;;;2024-09-18;9999-12-31;;;;;BRA2SOBDR004;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;110;1;2;;;;DRN;ACADEMY SPORTS & OUTDOORS INC;9999-12-31;FUNGIBLE;345061200;
2024-11-18;A2XO34;A2XO;A2XO;CASH;EQUITY-CASH;BDR;;;2022-01-31;9999-12-31;;;;;BRA2XOBDR004;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;AXON ENTERPRISE INC;9999-12-31;FUNGIBLE;1232416260;
